Year,Month,Station,LimacinaDensity,Log10LimDensity,AragSatHorDepth,Arag40m,upper100mArag,LimDen_3mo,Log10LimDen_3mo,AragSat_3mo,Arag40m_3mo,upper100mArag_3mo
2007,4,NH25,13.30666007,1.155538258,95,1.635768819,1.51613886,46.95801786,1.088223033,99.66666667,1.720916198,1.582646537
2007,5,NH25,127.5673935,2.109130839,98,1.827594729,1.633016258,59.24651623,1.54693595,94.66666667,1.707506805,1.580461934
2007,6,NH25,36.86549512,1.376138752,91,1.659156868,1.592230685,55.99295527,1.370996041,89.66666667,1.615094622,1.554999204
2007,7,NH25,3.545977178,0.627718532,80,1.35853227,1.439750668,13.47049077,0.667952428,76.66666667,1.414997224,1.413505777
2007,8,NH25,0,0,59,1.227302534,1.208535977,1.181992393,0.209239511,64.66666667,1.235125364,1.272566873
2007,9,NH25,0,0,55,1.119541289,1.169413973,0.15545489,0.042227474,64.33333333,1.309216427,1.256966534
2007,10,NH25,0.466364671,0.126682422,79,1.58080546,1.392949653,0.15545489,0.042227474,72.66666667,1.454871347,1.344621292
2007,11,NH25,0,0,84,1.664267294,1.471500249,0.754257418,0.191094298,90,1.630183153,1.484094709
2007,12,NH25,1.796407583,0.446600471,107,1.645476705,1.587834226,0.898203792,0.223300236,95.5,1.654872,1.529667237
2008,1,,,,,,,0.898203792,0.223300236,103.5,1.646153402,1.543822748
2008,2,NH25,0,0,100,1.646830099,1.499811271,0.349283341,0.094923049,96,1.610130721,1.450881474
2008,3,NH25,0.698566683,0.189846098,92,1.573431342,1.401951677,2.045977701,0.330554816,95,1.604015298,1.46143271
2008,4,NH25,5.439366419,0.801818349,93,1.591784453,1.482535181,13.66742037,0.705124717,90.33333333,1.550870664,1.43554777
2008,5,NH25,34.864328,1.123709703,86,1.487396198,1.422156453,28.53753959,1.196009649,83.66666667,1.474639403,1.400970237
2008,6,NH25,45.30892435,1.662500896,72,1.344737558,1.298219076,39.01451775,1.419232193,78.66666667,1.388908369,1.345997563
2008,7,NH25,36.87030091,1.471485979,78,1.334591353,1.317617159,29.88633862,1.245165873,80.66666667,1.407486774,1.347637691
2008,8,NH25,7.4797906,0.601510745,92,1.54313141,1.427076837,15.76433637,0.889196148,73.33333333,1.325690525,1.309867632
2008,9,NH25,2.942917612,0.59459172,50,1.099348812,1.184908901,4.179754568,0.535227623,72.33333333,1.349416478,1.321191421
2008,10,NH25,2.116555491,0.409580402,75,1.405769212,1.351588524,1.686491034,0.334724041,74,1.369062921,1.332505203
2008,11,NH25,0,0,97,1.602070741,1.461018184,1.940817247,0.360740917,104,1.620126956,1.48765883
2008,12,NH25,3.705896251,0.672642348,140,1.852540914,1.650369781,2.503369628,0.450785052,110.6666667,1.722580409,1.52993924
2009,1,NH25,3.804212632,0.679712807,95,1.713129573,1.478429755,4.090022974,0.704157855,107.3333333,1.681533396,1.493152055
2009,2,NH25,4.759960039,0.760118409,87,1.478929703,1.350656629,4.332464731,0.724962876,100.3333333,1.614557428,1.442523072
2009,3,NH25,4.433221524,0.735057413,119,1.651613009,1.498482833,5.484288795,0.804046432,97,1.609621252,1.438193527
2009,4,NH25,7.259684821,0.916963476,85,1.698321043,1.46544112,23.72886233,1.121290918,94,1.600897455,1.457135647
2009,5,NH25,59.49368064,1.711851865,78,1.452758314,1.40748299,33.87560561,1.256318293,80,1.509701483,1.409487366
2009,6,NH25,34.87345137,1.140139539,77,1.378025093,1.355537989,33.86626853,1.240155625,66.33333333,1.289695162,1.308377114
2009,7,NH25,7.231673586,0.868475471,44,1.038302078,1.162110362,14.42130172,0.776412721,62.33333333,1.199747345,1.257878538
2009,8,NH25,1.158780214,0.320623152,66,1.182914865,1.255987264,3.114324428,0.473558202,63,1.205638819,1.270750615
2009,9,NH25,0.952519484,0.231575981,79,1.395699516,1.394154219,1.359677407,0.299621058,71.66666667,1.369886532,1.349307587
2009,10,NH25,1.967732523,0.34666404,70,1.531045217,1.397781278,1.297962163,0.291168915,82.66666667,1.63356029,1.466000812
2009,11,NH25,0.973634483,0.295266725,99,1.973936137,1.606066938,1.470683503,0.320965382,84.5,1.752490677,1.501924108
2009,12,,,,,,,0.973634483,0.295266725,99,1.973936137,1.606066938
2010,1,,,,,,,1.534553253,0.304749529,137,1.839560644,1.806892909
2010,2,NH25,1.534553253,0.304749529,137,1.839560644,1.806892909,0.767276626,0.152374764,141,1.833640439,1.810194459
2010,3,NH25,0,0,145,1.827720234,1.81349601,4.423124221,0.469914106,131.6666667,1.814763316,1.749204986
2010,4,NH25,11.73481941,1.104992791,113,1.777009071,1.627226038,10.64060927,0.792771552,122.3333333,1.80180073,1.706523052
2010,5,NH25,20.18700839,1.273321866,109,1.800672885,1.678847109,19.04683767,1.212003496,108.6666667,1.781782189,1.653438258
2010,6,NH25,25.21868522,1.257695832,104,1.76766461,1.654241626,16.11320079,1.040873631,104.6666667,1.725479066,1.625056163
2010,7,NH25,2.933908773,0.591603195,101,1.608099704,1.542079754,10.77778855,0.850463391,96.33333333,1.584184275,1.523079705
2010,8,NH25,4.180771671,0.702091146,84,1.376788512,1.372917736,2.371560148,0.431231447,84.33333333,1.399655022,1.405279619
2010,9,NH25,0,0,68,1.21407685,1.300841367,2.33758763,0.371319356,73,1.244793076,1.30468063
2010,10,NH25,2.83199122,0.411866922,67,1.143513866,1.240282787,3.875454152,0.467614494,73.33333333,1.323028539,1.336344877
2010,11,NH25,8.794371235,0.990976561,85,1.611494902,1.467910476,5.813181228,0.701421742,76,1.377504384,1.354096632
2010,12,,,,,,,8.312721304,0.968494978,106.5,1.688608512,1.584527947
2011,1,NH25,7.831071373,0.946013395,128,1.765722122,1.701145418,5.734875435,0.806203881,114,1.74942687,1.626827559
2011,2,NH25,3.638679497,0.666394367,100,1.733131618,1.552509701,5.734875435,0.806203881,114,1.74942687,1.626827559
2011,3,,,,,,,2.514736492,0.522468215,111.5,1.753016767,1.531639473
2011,4,NH25,1.390793486,0.378542064,123,1.772901915,1.510769245,10.49909153,0.836330342,114,1.74103373,1.565169452
2011,5,NH25,19.60738957,1.29411862,105,1.709165546,1.619569659,14.06480355,1.004777003,107,1.712164721,1.570379195
2011,6,NH25,21.1962276,1.341670327,93,1.654426702,1.580798682,13.60120572,0.878596315,89.66666667,1.58415702,1.501307893
2011,7,NH25,0,0,71,1.388878814,1.303555338,8.528165681,0.612254298,67.66666667,1.343896403,1.312186766
2011,8,NH25,4.388269444,0.495092566,39,0.988383693,1.052206278,1.462756481,0.165030855,54.33333333,1.18271842,1.192512822
2011,9,NH25,0,0,53,1.170892754,1.221776851,2.232856566,0.338070665,57,1.202760093,1.233360375
2011,10,NH25,2.310300254,0.519119428,79,1.449003833,1.426097995,1.155150127,0.259559714,66,1.309948294,1.323937423
2011,11,,,,,,,1.155150127,0.259559714,83.5,1.522376377,1.422437531
2011,12,NH25,0,0,88,1.59574892,1.418777068,0,0,78,1.641691896,1.367679383
2012,1,NH25,0,0,68,1.687634871,1.316581697,0,0,78,1.641691896,1.367679383
2012,2,,,,,,,0.828438763,0.211922808,87,1.658949016,1.402582173
2012,3,NH25,1.656877527,0.423845617,106,1.63026316,1.48858265,0.828438763,0.211922808,110.5,1.654552741,1.56243205
2012,4,NH25,0,0,115,1.678842322,1.636281451,24.86893451,0.679010681,109.6666667,1.661182309,1.592538402
2012,5,NH25,72.94992602,1.613186427,108,1.674441444,1.652751106,31.67639873,0.949449496,107.3333333,1.69920714,1.632097358
2012,6,NH25,22.07927017,1.235162059,99,1.744337655,1.607259516,32.03968216,1.056154414,101,1.767549329,1.639187858
2012,7,NH25,1.089850287,0.320114756,96,1.883868888,1.657552953,7.723040153,0.518425605,86.66666667,1.604385661,1.511713238
2012,8,NH25,0,0,65,1.18495044,1.270327244,0.363283429,0.106704919,75,1.441702491,1.404080672
2012,9,NH25,0,0,64,1.256288146,1.28436182,0,0,66.33333333,1.224253872,1.260259729
2012,10,NH25,0,0,70,1.231523031,1.226090122,0.709639776,0.165131455,73,1.311036927,1.29946987
2012,11,NH25,2.128919329,0.495394366,85,1.445299603,1.387957669,1.064459665,0.247697183,77.5,1.338411317,1.307023895
2012,12,,,,,,,3.868722953,0.657749503,102,1.606530888,1.524832233
2013,1,NH25,5.608526576,0.820104641,119,1.767762173,1.661706798,5.608526576,0.820104641,119,1.767762173,1.661706798
2013,2,,,,,,,16.96871152,1.132364973,105.5,1.682732794,1.530387771
2013,3,NH25,28.32889647,1.444625305,92,1.597703414,1.399068745,23.34272652,1.354550915,84.5,1.523171747,1.389172329
2013,4,NH25,18.35655658,1.264476526,77,1.44864008,1.379275913,49.70433735,1.574577743,82.66666667,1.464787097,1.377896964
2013,5,NH25,102.427559,2.014631399,79,1.348017798,1.355346234,40.26137186,1.093035975,80,1.365282922,1.368172948
2013,6,NH25,0,0,84,1.299190887,1.369896697,34.14251967,0.6715438,77.33333333,1.30057178,1.310062303
2013,7,NH25,0,0,69,1.254506656,1.204943979,0.923355111,0.135931071,58,1.192538885,1.198053854
2013,8,NH25,2.770065334,0.407793213,21,1.023919113,1.019320886,1.385032667,0.203896606,45,1.139212885,1.112132432
2013,9,,,,,,,1.385032667,0.203896606,53,1.215776577,1.230241411
2013,10,NH25,0,0,85,1.407634041,1.441161935,0,0,67.5,1.264120109,1.309685148
2013,11,NH25,0,0,50,1.120606177,1.178208361,3.58831629,0.356863348,73.66666667,1.308530484,1.326305072
2013,12,NH25,10.76494887,1.070590044,86,1.397351235,1.359544921,3.58831629,0.356863348,68.66666667,1.284256993,1.262736896
2014,1,NH25,0,0,70,1.334813567,1.250457407,3.58831629,0.356863348,86.66666667,1.454556633,1.354110055
2014,2,NH25,0,0,104,1.631505098,1.452327837,0,0,87,1.483159333,1.351392622
2014,3,,,,,,,0,0,96.5,1.686169328,1.496975305
2014,4,NH25,0,0,89,1.740833557,1.541622773,3.302461235,0.440547395,85,1.729454327,1.510471665
2014,5,NH25,6.60492247,0.881094791,81,1.718075096,1.479320557,3.886704784,0.546646532,88.33333333,1.673921248,1.52050415
2014,6,NH25,5.055191883,0.758844806,95,1.562855091,1.540569121,3.886704784,0.546646532,82,1.499438608,1.437003288
2014,7,NH25,0,0,70,1.217385639,1.291120186,2.002882002,0.349882674,76.33333333,1.301326747,1.331000158
2014,8,NH25,0.953454124,0.290803217,64,1.123739511,1.161311168,0.317818041,0.096934406,78,1.300025091,1.325959847
2014,9,NH25,0,0,100,1.558950124,1.525448187,0.317818041,0.096934406,83,1.436307694,1.421998679
2014,10,NH25,0,0,85,1.626233448,1.579236681,0,0,100.6666667,1.681245015,1.584902539
2014,11,NH25,0,0,117,1.858551472,1.65002275,0,0,101,1.74239246,1.614629716
2014,12,,,,,,,0,0,114.5,1.894730121,1.673743899
2015,1,NH25,0,0,112,1.930908771,1.697465048,0,0,124.5,1.93067577,1.761841854
2015,2,NH25,0,0,137,1.93044277,1.82621866,0,0,119.6666667,1.921760789,1.720516743
2015,3,NH25,0,0,110,1.903930827,1.63786652,1.400409794,0.212821307,118,1.831001361,1.678827201
2015,4,NH25,4.201229382,0.638463921,107,1.658630485,1.572396424,3.745193722,0.492495596,113.3333333,1.724788547,1.60156048
2015,5,NH25,7.034351785,0.839022867,123,1.61180433,1.594418497,7.050470179,0.754275216,115,1.620521143,1.555286948
2015,6,NH25,9.915829369,0.785338861,115,1.591128615,1.499045923,5.892547644,0.606460238,102.3333333,1.445217965,1.449860327
2015,7,NH25,0.727461777,0.195018986,69,1.132720952,1.256116562,10.72443685,0.776742451,94.33333333,1.441611533,1.424969518
2015,8,NH25,21.53001941,1.349869505,99,1.600985032,1.519746069,9.913507886,0.824480044,84.33333333,1.368986195,1.393242808
2015,9,NH25,7.483042472,0.928551641,85,1.373252601,1.403865793,16.3813287,1.200894002,98.66666667,1.506715846,1.481746619
2015,10,NH25,20.13092423,1.324260861,112,1.545909904,1.521627995,10.62340539,0.991162824,100,1.505515743,1.462739635
2015,11,NH25,4.25624947,0.720675969,103,1.597384723,1.462725118,12.19358685,1.022468415,107.5,1.571647314,1.492176557
2015,12,,,,,,,2.128124735,0.360337985,127,1.597384723,1.689397498
2016,1,NH25,0,0,151,,1.916069877,0,0,134,2.082105029,1.889035118
2016,2,NH25,0,0,117,2.082105029,1.862000358,0,0,130,1.987556717,1.832506584
2016,3,NH25,0,0,122,1.893008404,1.719449515,7.57836172,0.458463598,113.6666667,1.952367728,1.770161433
2016,4,NH25,22.73508516,1.375390794,102,1.881989751,1.729034426,14.83849935,0.910984129,103,1.824379084,1.653792557
2016,5,NH25,21.78041289,1.357561591,85,1.698139096,1.512893729,19.22971163,1.294811229,89.66666667,1.786094383,1.591322208
2016,6,NH25,13.17363683,1.151481301,82,1.778154303,1.53203847,17.47702486,1.254521446,83.5,1.7381467,1.522466099
